order_id,customer_name,email,phone,order_date,product,quantity,price,total
1,John Smith,john.smith@email.com,1234567890,2024-02-10,Laptop,1,1200,1200
2,jane smith,,123 456 7890,2024-02-11,LAPTOP,1,1200,1200
3,Ali Khan,ali.khan@email.com,(123)-456-7890,2024-02-11,Mouse,2,25.00,50.00
4,Maria Garcia,maria@@email.com,,2024-02-13,Laptop,1,"1,200",1200
5,Ahmed Hassan,ahmed@email.com,1234567890,2024-02-14,Monitor,-1,200,-200
6,John Smith,john.smith@email.com,1234567890,2024-02-10,Laptop,1,1200,1200
7,,unknown@email,9876543210,2024-02-15,Keyboard,1,80.00,80.00
8,Alex Murphy,alex@email.com,098-765-4321,02/16/2024,Headphones,1,100,
9,Emily Wong,emily.wong@email.com,,2024-02-17,Tablet,1,300.50,300.50
10,Ahmed Hassan,ahmed@email.com,1234567890,2024-02-14,Monitor,1,200,200
